Partlist

Exported from Motherboard Schematics - 1 - 29_Dec_2020.brd at 1/27/2021 3:21 PM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                               Package                                   Library                                           Position (mil)        Orientation
X2       5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (5216 -1364)          R180
X3       5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (5405 2305)           R90
X5       TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Rembrandt Electronics - Terminal Block 3-5mm v1-0 (1695 -1380)          R0
X6       5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (5405 1765)           R90
X7       5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (5405 1335)           R270
X8       5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (5405 790)            R90
X9       5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (5405 290)            R90
X10      5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (5405 -240)           R90
X11      5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (5405 -735)           R270
X12      TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Rembrandt Electronics - Terminal Block 3-5mm v1-0 (-535 -1115)          R90
X13      TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Rembrandt Electronics - Terminal Block 3-5mm v1-0 (-535 -675)           R90
X14      TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Rembrandt Electronics - Terminal Block 3-5mm v1-0 (-535 -205)           R90
X15      TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Rembrandt Electronics - Terminal Block 3-5mm v1-0 (-535 275)            R270
X16      TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Rembrandt Electronics - Terminal Block 3-5mm v1-0 (-535 720)            R90
X17      TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Rembrandt Electronics - Terminal Block 3-5mm v1-0 (-535 1180)           R90
X18      TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Rembrandt Electronics - Terminal Block 3-5mm v1-0 (-535 1640)           R90
